taxonID,locationID,locality,countryCode,occurrenceStatus,establishmentMeans,eventDate,source
alien-macroinvertebrates-checklist:taxon:e0ca4b984209f1276cc9c9d9ed8d1c2a,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,2005/2016,"Lock K, Van Wichelen J, Packet J, Simoens I, Van Looy K, Louette G, Warmoes T, Denys L (2007) Bepalen van het maximaal en het goed ecologisch potentieel, alsook de huidige toestand, voor een aantal Vlaamse (gewestelijke) waterlichamen die vergelijkbaar zijn met de categorie meren - Deel I. Report Institute of Nature Conservation 2007/51, Brussels"
alien-macroinvertebrates-checklist:taxon:e290ce86d71a55d91f917e211570869d,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,2002/2016,"Soors J, van Haaren T, Timm T, Speybroeck J (2013) Bratislavia dadayi (Michaelsen, 1905) (Annelida: Clitellata: Naididae): a new non-indigenous species for Europe, and other non-native annelids in the Schelde estuary. Aquatic Invasions 8: 37–44, https://doi.org/10.3391/ai.2013.8.1.04"
alien-macroinvertebrates-checklist:taxon:e9666c346f1d57a5c70f3565b265c7a6,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,1995/2016,"Ysebaert T, Meire P, De Block M, De Regge N, Soors J (1997) A first record of Marenzelleria viridis (Verril, 1873) (Polychaeta, Spionidae) in the Schelde estuary (Belgium). Biologisch Jaarboek (Dodonaea) 64: 176–181"
alien-macroinvertebrates-checklist:taxon:ea39ba23a29363410ea753eef1267d49,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,1937/2016,Collection RBINS
alien-macroinvertebrates-checklist:taxon:eb7cf63db2db96cfdd726bbdb2a58589,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,1945/2016,Collection RBINS
alien-macroinvertebrates-checklist:taxon:f1933aee12b03522f0612248bed94089,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,1730/1732,"Sellius G (1733) Historia naturalis teredinis seu xylophagi marini tubulochonchoidis speciatim Belgici, Trajecti ad Rhenum, p 366"
alien-macroinvertebrates-checklist:taxon:f2239006490388724956837aebca1507,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,1700/2016,"Kerckhof F, Haelters J, Gollasch S (2007) Alien species in the marine and brackish ecosystem: the situation in Belgian waters. Aquatic Invasions 2: 243–257, https://doi.org/10.3391/ai.2007.2.3.9"
alien-macroinvertebrates-checklist:taxon:f5b987f1e2bb2297e53f246b5313075e,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,1987/2016,"Kerckhof F, Dumoulin E (1987) Eerste vondsten van de Amerikaanse zwaardschede Ensis directus (Conrad, 1843) langs de Belgische kust. De Strandvlo 7: 51–52 "
alien-macroinvertebrates-checklist:taxon:f6054e6c8735fdf9bd1ff1e9fba70961,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,1835/2016,"Nyst HJP (1835) Mollusques. Bulletin des Academies Royal des Sciences Lettres et Beaux Arts 2: 235–236 | Adam W (1947) Revision des Mollusques de la Belgique. I Mollusques terrestres et dulcicoles. Mémoires du Musée Royal d’Histoire Naturelle de Belgique, 106, 297 pp"
alien-macroinvertebrates-checklist:taxon:f819de76c438275936f0bc283d53056a,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,2009/2016,"Sablon R, Vercauteren T, Jacobs P (2010b) De quaggamossel (Dreissena rostriformis bugensis (Andrusov, 1897)), een recent gevonden invasieve zoetwatermossel in Vlaanderen. ANTenne 4: 32–36"
